pathophysiologic finding,RID4736.Observation
half moon sign (chest),RID35254.Observation
curvature sign,RID35133.Observation
antral pad sign,RID35012.Observation
Mickey Mouse sign of bladder,RID35374.Observation
ring of fire sign,RID35495.Observation
halo sign of liver,RID35259.Observation
deflected calyx sign,RID35138.Observation
apical sign,RID35017.Observation
applecore lesion,RID35018.Observation
dense metaphyseal band sign,RID35139.Observation
halo sign of duodenum,RID35257.Observation
deep lateral femoral notch sign,RID35136.Observation
Apert syndrome,RID35015.Observation
molar tooth sign of bladder,RID35379.Observation
ring-around-the-artery sign,RID35499.Observation
Milwaukee shoulder,RID35378.Observation
apical cap,RID35016.Observation
halo sign of heart,RID35258.Observation
deep sulcus sign,RID35137.Observation
rim sign of gallbladder,RID35490.Observation
Cupid bow vertebra,RID35130.Observation
gull wing sign,RID35251.Observation
metacarpal sign,RID35373.Observation
rim sign of shoulder,RID35494.Observation
rim sign of right upper quadrant,RID35493.Observation
mesenteric vein sign,RID35372.Observation
anteriorly migrating abdominal aorta sign,RID35010.Observation
cupola sign,RID35131.Observation
H vertebra,RID35252.Observation
Mercedes Benz sign,RID35371.Observation
rim sign of pelvis,RID35491.Observation
melting sign,RID35370.Observation
gull wing appearance,RID35250.Observation
sawtooth ureter,RID35517.Observation
thymic wave sign,RID35638.Observation
sausage digit,RID35516.Observation
thumbprinting,RID35636.Observation
sandwich vertebrae,RID35515.Observation
sandwich sign,RID35514.Observation
thumb sign,RID35635.Observation
scallop sign of wrist,RID35519.Observation
tibiotalar slant sign,RID35639.Observation
scallop sign of pleura,RID35518.Observation
Schmorl node,RID35520.Observation
tip of the iceberg sign,RID35640.Observation
obturator sign,RID35403.Observation
Semitic nose sign,RID35524.Observation
tracheal overlap sign,RID35645.Observation
top-of-the-knob sign,RID35644.Observation
sedimentation sign,RID35523.Observation
obscured outer edge sign,RID35402.Observation
scimitar sign of artery,RID35522.Observation
nutmeg liver,RID35401.Observation
toothpaste sign,RID35643.Observation
scimitar sign,RID35521.Observation
nubbin sign,RID35400.Observation
tooth sign,RID35642.Observation
beaded septum sign,RID43254.Observation
saber sheath trachea sign,RID35506.Observation
thickened posterior tracheal stripe sign,RID35627.Observation
rugger jersey spine,RID35505.Observation
thick wall sign,RID35625.Observation
round nipple shadow sign,RID35504.Observation
rosary sign,RID35503.Observation
Terry Thomas sign,RID35624.Observation
sail sign of chest,RID35509.Observation
sagging rope sign,RID35508.Observation
thimble bladder,RID35629.Observation
thickened sclera sign,RID35628.Observation
saber shin sign,RID35507.Observation
third mogul sign,RID35630.Observation
sandstorm appearance,RID35513.Observation
Throckmorton sign,RID35634.Observation
thread-and-streak sign of liver,RID35633.Observation
salt-and-pepper sign,RID35512.Observation
salt and pepper skull,RID35511.Observation
thread-and-streak sign of kidney,RID35632.Observation
thorn sign,RID35631.Observation
sail sign of elbow,RID35510.Observation
cobblestone pattern,RID34405.Observation
coffee bean sign,RID34406.Observation
target sign of lung,RID35615.Observation
target sign of liver,RID35614.Observation
target sign of extremity,RID35613.Observation
Mickey Mouse sign of liver,RID34404.Observation
swan neck deformity,RID34409.Observation
teardrop sign of ankle,RID35619.Observation
tau sign,RID35618.Observation
comet tail sign,RID34407.Observation
tattoo sign,RID35617.Observation
scotty dog sign,RID34408.Observation
Erlenmeyer flask deformity,RID34412.Observation
tennis racquet sign,RID35623.Observation
rosary bead esophagus sign,RID35502.Observation
telephone receiver femur,RID35622.Observation
rocker-bottom thymus sign,RID35501.Observation
ripple sign,RID35500.Observation
teat and udder sign,RID35621.Observation
inverted Napoleon hat sign,RID34410.Observation
absent bow tie sign,RID34411.Observation
teardrop sign of orbits,RID35620.Observation
systolic jet sign,RID35605.Observation
air bronchogram sign,RID34999.Observation
symmetric liver sign,RID35604.Observation
acorn deformity,RID34997.Observation
swirl sign,RID35603.Observation
acute kyphosis sign,RID34998.Observation
supinator sign,RID35602.Observation
target practice sign,RID35609.Observation
tangent sign,RID35608.Observation
talar beak sign,RID35607.Observation
tacked-down sign,RID35606.Observation
target sign of colon,RID35612.Observation
C sign,RID34402.Observation
target sign of brain,RID35611.Observation
target sign of bowel wall,RID35610.Observation
butterfly shadow,RID34400.Observation
jack stone,RID35318.Observation
phantom calyx,RID35439.Observation
jailbars sign,RID35319.Observation
sonographic bull's-eye sign,RID35559.Observation
phalangeal sign,RID35438.Observation
ivory vertebra sign,RID35316.Observation
J sign,RID35317.Observation
vacuum disk phenomenon,RID35679.Observation
persistent loop sign,RID35437.Observation
soft-tissue rim sign,RID35558.Observation
picture frame vertebral body,RID35443.Observation
spheroid sign,RID35564.Observation
vertebral fade-off sign,RID35685.Observation
jet sign,RID35321.Observation
fat C2 sign,RID35200.Observation
joint mice,RID35322.Observation
fat halo sign,RID35201.Observation
vena cava sign,RID35684.Observation
picket fence,RID35442.Observation
spastic urinary tract sign,RID35563.Observation
vascular plethora sign,RID35683.Observation
Spalding sign,RID35562.Observation
Phrygian cap,RID35441.Observation
spaghetti sign,RID35561.Observation
phantom sign,RID35440.Observation
vascular nodule sign,RID35682.Observation
jet phenomenon,RID35320.Observation
keyhole sign of bladder,RID35325.Observation
fat sign,RID35204.Observation
wall sign of ovary,RID35689.Observation
pistol grip deformity,RID35447.Observation
spiral sign,RID35568.Observation
pipestem ureter,RID35446.Observation
wall sign of lung,RID35688.Observation
FBI sign,RID35205.Observation
keyhole sign of duodenum,RID35326.Observation
fat pad sign,RID35202.Observation
juxtaphrenic peak sign,RID35323.Observation
wagging tongue sign,RID35687.Observation
spinnaker sail sign,RID35566.Observation
pine cone bladder,RID35445.Observation
W sign,RID35686.Observation
spider web,RID35565.Observation
pie-in-the-sky bladder,RID35444.Observation
keyboard sign,RID35324.Observation
fat ring sign,RID35203.Observation
vascular cut-off sign,RID35681.Observation
spade shape,RID35560.Observation
vallecular sign,RID35680.Observation
pelvocalyceal wall opacification sign,RID35429.Observation
interface sign,RID35307.Observation
interstitial line sign,RID35308.Observation
Pellegrini-Stieda sign,RID35428.Observation
infinity sign,RID35305.Observation
skewed nasal septum sign,RID35548.Observation
Pelken spur sign,RID35427.Observation
twin peak sign,RID35669.Observation
turret exostosis,RID35668.Observation
pedicle sign,RID35426.Observation
sinking pellet sign,RID35547.Observation
intercostal bulging lung sign,RID35306.Observation
intrahepatic gas sign,RID35309.Observation
pericardial line sign,RID35432.Observation
smile sign,RID35553.Observation
upper triangle sign,RID35674.Observation
intraosseous gas sign,RID35310.Observation
intravertebral vacuum cleft sign,RID35311.Observation
umbrella sign,RID35673.Observation
pericardial fat tag sign,RID35431.Observation
small-bowel feces sign,RID35552.Observation
small orbit sign,RID35551.Observation
pencil-in-cup deformity,RID35430.Observation
ulcer-within-an-ulcer sign,RID35672.Observation
small heart sign,RID35550.Observation
twisted tape sign,RID35671.Observation
ivory osteoma,RID35314.Observation
vacuum facet sign,RID35678.Observation
perirenal P sign,RID35436.Observation
snowstorm pattern of uterus,RID35557.Observation
snowstorm pattern of breast,RID35556.Observation
perirenal cobweb,RID35435.Observation
ivory phalanx sign,RID35315.Observation
inverted U sign,RID35312.Observation
V sign of chest,RID35676.Observation
snowman sign,RID35555.Observation
peripheral fat sign,RID35434.Observation
snake head sign,RID35554.Observation
peripheral bubble sign,RID35433.Observation
urachal sign,RID35675.Observation
inverted V sign,RID35313.Observation
twinkling star sign,RID35670.Observation
paradoxical movement of the mediastinum,RID35418.Observation
sickle sign,RID35539.Observation
shoulder sign,RID35538.Observation
paradoxical halo sign,RID35417.Observation
trolley-track sign,RID35659.Observation
triple bubble sign,RID35658.Observation
shoulder pad sign,RID35537.Observation
panda sign,RID35416.Observation
trident hand,RID35657.Observation
pancake brain,RID35415.Observation
shotgun sign,RID35536.Observation
parallel channel sign,RID35419.Observation
parchment heart,RID35421.Observation
signet ring sign of chest,RID35542.Observation
tubular artery sign,RID35663.Observation
trumpet sign,RID35662.Observation
parallel track sign,RID35420.Observation
sign of the cane,RID35541.Observation
incomplete fissure sign,RID35300.Observation
sigmoid elevator sign,RID35540.Observation
Trummerfeld scurvy zone,RID35661.Observation
trough line sign,RID35660.Observation
indefinite uterus sign,RID35303.Observation
pedestal sign,RID35425.Observation
single bubble sign,RID35546.Observation
tumor track sign,RID35667.Observation
silver fork deformity,RID35545.Observation
pearl necklace gallbladder,RID35424.Observation
tumbling bullet sign,RID35666.Observation
indrawn pleura sign,RID35304.Observation
tumbling bolt sign,RID35665.Observation
silhouette sign,RID35544.Observation
pear-shaped bladder,RID35423.Observation
incomplete ring sign of duodenum,RID35301.Observation
incomplete ring sign of vertebra,RID35302.Observation
signet ring sign of kidney,RID35543.Observation
participating tail,RID35422.Observation
tubular small bowel,RID35664.Observation
tram track sign of brain,RID35649.Observation
one-two-three sign,RID35407.Observation
shading sign,RID35528.Observation
Seurat spleen sign,RID35527.Observation
one-bone-two-bone sign,RID35406.Observation
tram track rib sign,RID35648.Observation
tram line sign,RID35647.Observation
serpiginous tract sign,RID35526.Observation
omega sign,RID35405.Observation
track sign of femur,RID35646.Observation
okra sign,RID35404.Observation
sentinel lines sign,RID35525.Observation
onion skin sign,RID35409.Observation
onion ring appearance,RID35408.Observation
transverse stripe sign,RID35652.Observation
tram track sign of optic nerve,RID35410.Observation
sharp edge sign,RID35531.Observation
tram track sign of chest,RID35651.Observation
shaggy heart sign,RID35530.Observation
tram track sign of bone scan,RID35650.Observation
paintbrush appearance,RID35414.Observation
Shmoo-shaped heart,RID35535.Observation
triangular sign,RID35656.Observation
triangle sign,RID35655.Observation
shepherd's crook sign,RID35534.Observation
Page kidney,RID35413.Observation
tree-in-bud sign,RID35654.Observation
padlock sign,RID35412.Observation
shell sign,RID35532.Observation
organ point sign,RID35411.Observation
trapped air sign,RID35653.Observation
zoning sign,RID35712.Observation
abdominal fat necrosis sign,RID34991.Observation
absent collecting duct system,RID34992.Observation
3 sign,RID34990.Observation
supinator notch sign,RID35601.Observation
absent liver sign,RID34995.Observation
accordian sign,RID34996.Observation
superior triangle sign,RID35600.Observation
absent gastric air bubble sign,RID34993.Observation
absent inferior vena cava sign,RID34994.Observation
Wimberger sign of syphilis,RID35709.Observation
widened disk space sign,RID35704.Observation
white matter buckling sign,RID35703.Observation
white line sign,RID35702.Observation
white line of Frankel,RID35701.Observation
Wimberger sign of scurvy,RID35708.Observation
widened suture sign,RID35707.Observation
widened loop sign,RID35706.Observation
yo-yo-on-a-string sign,RID35711.Observation
yin-yang sign,RID35710.Observation
whiskering effect,RID35700.Observation
cluster-of-grapes sign,RID43306.Observation
internal air bronchogram sign,RID46015.Observation
cluster-of-grapes sign of lung,RID35088.Observation
cluster-of-grapes sign of uterus,RID35089.Observation
cluster-of-grapes sign of kidney,RID35087.Observation
cluster-of-grapes sign of liver,RID43307.Observation
tie-breaking rules,RID43351.Observation
BI-RADS assessment,RID36027.Observation
intermediate concern,RID36040.Observation
BI-RADS N/A,RID36037.Observation
BI-RADS 0,RID36036.Observation
BI-RADS 6,RID36035.Observation
BI-RADS 5,RID36034.Observation
BI-RADS 2,RID36029.Observation
BI-RADS 1,RID36028.Observation
BI-RADS 4C,RID36033.Observation
BI-RADS 4B,RID36032.Observation
BI-RADS 4A,RID36031.Observation
BI-RADS 4,RID36030.Observation
BI-RADS 3,RID36041.Observation
global asymmetry,RID34266.Observation
focal asymmetry,RID34264.Observation
homogeneous background echotexture,RID34347.Observation
heterogeneous background echotexture,RID34350.Observation
homogeneous background echotexture-fat,RID34348.Observation
homogeneous background echotexture-fibroglandular,RID34349.Observation
ischemic penumbra,RID38775.Observation
ischemic core,RID38776.Observation
non-mass-like enhancement,RID34342.Observation
infiltrate,RID39317.Observation
foci,RID34302.Observation
focus,RID34301.Observation
lesion,RID38780.Observation
reticulation,RID38794.Observation
satellite nodules,RID46062.Observation
pseudolesion,RID34749.Observation
multiple regions enhancement,RID34340.Observation
diffuse enhancement,RID34341.Observation
focal enhancement,RID34335.Observation
linear enhancement,RID34336.Observation
regional enhancement,RID34339.Observation
ductal enhancement,RID34337.Observation
segmental enhancement,RID34338.Observation
hypervascular lesion,RID34389.Observation
nodule,RID3875.Observation
mass,RID3874.Observation
mass in or on skin,RID34373.Observation
liver mass,RID39466.Observation
irregular mass,RID29215.Observation
breast mass,RID39055.Observation
chest mass,RID43412.Observation
oval mass,RID29223.Observation
round mass,RID29173.Observation
lobular mass,RID29174.Observation
lung mass,RID39056.Observation
intermediate margin,RID45664.Observation
non-circumscribed margin,RID34355.Observation
mixed margin,RID43289.Observation
circumscribed margin,RID5707.Observation
neither smooth nor irregular margin,RID45671.Observation
moderately irregular margin,RID45670.Observation
neither well nor ill defined margin,RID45666.Observation
moderately well-defined margin,RID45665.Observation
moderately smooth margin,RID45668.Observation
moderately ill-defined margin,RID45667.Observation
irregular margin,RID5715.Observation
angular margin,RID34354.Observation
spiculated margin,RID5713.Observation
indistinct margin,RID5709.Observation
lobulated margin,RID5711.Observation
microlobulated margin,RID5712.Observation
obscured margin,RID5710.Observation
smooth margin,RID5714.Observation
liver hypertrophic pseudomass,RID39459.Observation
capsule appearance (liver),RID39439.Observation
definite benign entities (liver),RID39444.Observation
pseudocapsule (liver),RID39477.Observation
hepatic fat deposition,RID39455.Observation
hepatic fat sparing,RID39456.Observation
liver score designation,RID39445.Observation
cirrhosis-associated nodules,RID39440.Observation
undistorted vessels,RID39484.Observation
internal nodules,RID43335.Observation
vascular anomaly (liver),RID39485.Observation
confluent fibrosis (liver),RID39441.Observation
major liver features,RID43348.Observation
ancillary features (liver),RID39432.Observation
non-HCC liver malignancy,RID39470.Observation
true tumor capsule,RID39482.Observation
periosteal cortical thinning,RID45761.Observation
endosteal cortical thinning,RID45760.Observation
full thickness cortical thinning,RID45762.Observation
cortical erosion absent,RID45759.Observation
non-specific destruction pattern,RID45743.Observation
moth-eaten pattern,RID6301.Observation
permeative destruction pattern,RID6302.Observation
geographic destruction pattern,RID6300.Observation
punched out erosions,RID6303.Observation
circumferential enhancement,RID6061.Observation
nodular pattern,RID43266.Observation
spatial enhancement pattern,RID43366.Observation
mixed enhancement pattern,RID43322.Observation
hypoenhancement,RID39126.Observation
isoenhancing,RID6057.Observation
homogeneous retention,RID43338.Observation
capsule appearance,RID39146.Observation
increasing enhancement,RID39461.Observation
thoracic imaging enhancement,RID43253.Observation
enhancing,RID6055.Observation
nonenhancing,RID6056.Observation
temporal enhancement pattern,RID43354.Observation
crazy-paving pattern,RID43256.Observation
skin invasion,RID34318.Observation
pre-contrast high ductal signal,RID34315.Observation
pectoralis muscle invasion,RID34319.Observation
pseudocavity,RID43270.Observation
internal enhancement pattern,RID34419.Observation
chest wall invasion,RID34320.Observation
mass enhancement pattern,RID34420.Observation
hematoma/blood signal,RID34322.Observation
background breast parenchymal enhancement pattern,RID34344.Observation
central scar,RID43325.Observation
restricted diffusion,RID43349.Observation
nodule-in-nodule,RID39150.Observation
hyperenhancement,RID39095.Observation
reticulonodular pattern,RID43272.Observation
asymmetric enhancement,RID34313.Observation
target enhancement,RID43320.Observation
mottled enhancement,RID43321.Observation
mosaic architecture,RID39149.Observation
symmetric enhancement,RID34312.Observation
enhancement uniformity,RID43368.Observation
reticular pattern,RID43271.Observation
heterogeneous enhancement,RID39457.Observation
homogeneous enhancement,RID39563.Observation
right esophageal stripe,RID1456.Observation
left esophageal stripe,RID1457.Observation
retrosternal stripe,RID1438.Observation
right paratracheal stripe,RID1449.Observation
posterior tracheal stripe,RID1450.Observation
right inferior esophagopleural stripe,RID1461.Observation
left inferior esophagopleural stripe,RID1462.Observation
posterior junction line,RID1455.Observation
peripheral retention,RID43341.Observation
delayed phase hypoenhancement,RID43342.Observation
portal venous phase hypoenhancement,RID43353.Observation
arterial phase hyperenhancement,RID43355.Observation
arterial phase hypoenhancement,RID39435.Observation
arterial phase isoenhancement,RID39436.Observation
centripetal fill-in,RID43323.Observation
fade,RID39451.Observation
washout appearance,RID39486.Observation
corona enhancement,RID39442.Observation
parallels blood pool enhancement,RID39472.Observation
nodule-like arterial phase hyperenhancement,RID39469.Observation
homogeneous fade,RID43339.Observation
homogeneous washout,RID43340.Observation
clumped enhancement,RID34310.Observation
reticular enhancement,RID34311.Observation
homogeneous internal enhancement,RID34421.Observation
heterogeneous internal enhancement,RID34422.Observation
stippled enhancement,RID34309.Observation
thin septae,RID45675.Observation
thick septae,RID45676.Observation
dark internal septation,RID34306.Observation
enhancing internal septation,RID34307.Observation
homogeneous mass enhancement,RID34304.Observation
heterogeneous mass enhancement,RID34305.Observation
rim enhancement pattern,RID43290.Observation
central enhancement,RID34308.Observation
peripheral discontinuous nodular enhancement,RID43319.Observation
irregular rim,RID43310.Observation
rim enhancement,RID34303.Observation
nonuniform rim,RID43344.Observation
peripheral continuous rim enhancement,RID43318.Observation
incomplete rim,RID43291.Observation
thick rim,RID43308.Observation
absent rim,RID43292.Observation
thin rim,RID43309.Observation
enhancing central scar,RID45692.Observation
nonenhancing central scar,RID43326.Observation
persistent homogeneous hyperenhancement,RID39475.Observation
